epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,time,number_of_training_examples,number_of_validation_examples,saved_during_training
0,0.07549694189602446,3.232458291984186,0.18112244897959184,3.145002713570228,9.056443929672241,5232,392,1
1,0.2798165137614679,3.0512353632508256,0.32142857142857145,3.003931265610915,8.891428470611572,5232,392,1
2,0.3683103975535168,2.956729473137274,0.37244897959183676,2.9587834614973803,8.582740306854248,5232,392,1
3,0.4323394495412844,2.894487738609314,0.413265306122449,2.9211200200594387,8.789984703063965,5232,392,1
4,0.47438837920489296,2.8507515947993207,0.43112244897959184,2.9009096989264855,9.216119766235352,5232,392,1
5,0.514525993883792,2.8097621435072364,0.4387755102040816,2.892235150704017,9.265211343765259,5232,392,1
6,0.5365061162079511,2.787398967801071,0.44642857142857145,2.884282112121582,9.586179256439209,5232,392,1
7,0.5449159021406728,2.7810186990877477,0.45918367346938777,2.874583024245042,9.496394395828247,5232,392,1
8,0.5626911314984709,2.7600504334379985,0.4872448979591837,2.8478867457463193,9.690239667892456,5232,392,1
9,0.5800840978593272,2.743944954581377,0.47959183673469385,2.8555361124185414,9.461111545562744,5232,392,0
10,0.5894495412844036,2.7357937373766084,0.4872448979591837,2.846785545349121,9.331238269805908,5232,392,0
11,0.6072247706422018,2.7162148850720103,0.47959183673469385,2.855031270247239,9.530678987503052,5232,392,0
12,0.6179281345565749,2.70836955163537,0.5102040816326531,2.8290034440847545,9.782801389694214,5232,392,1
13,0.6305428134556575,2.6944872184497553,0.5127551020408163,2.8220018240121694,9.395157098770142,5232,392,1
14,0.6316896024464832,2.6923247677523916,0.5357142857142857,2.8051678584172177,9.215891361236572,5232,392,1
