epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,time,number_of_training_examples,number_of_validation_examples,saved_during_training
0,0.3555585063390527,2.965539408950355,0.702688399661304,2.6194823239300704,7.981982469558716,519636,37792,1
1,0.5463997875435882,2.7764212160598576,0.8041119813717189,2.518061418791075,7.781013011932373,519636,37792,1
2,0.6487291103772641,2.675171706620164,0.8650772650296359,2.457446491396105,7.811610221862793,519636,37792,1
3,0.7163514460122086,2.607906959657594,0.896538950042337,2.425748470667246,7.73039174079895,519636,37792,1
4,0.7700371028951035,2.5540330963810596,0.9283975444538527,2.3941671461672396,7.725235223770142,519636,37792,1
5,0.8266151690798944,2.4971881433734744,0.9322343353090601,2.3898448944091797,7.961967945098877,519636,37792,1
6,0.8454475825385462,2.478122205246152,0.9364680355630821,2.385647677086495,7.7525036334991455,519636,37792,1
7,0.8578851349791008,2.465361837796339,0.9449883573243014,2.377315650115142,7.779962539672852,519636,37792,1
8,0.8659946577989208,2.457197527247151,0.9466818374259103,2.3753446888279273,10.334893941879272,519636,37792,1
9,0.8716486155693601,2.4512700316474194,0.948375317527519,2.3738876484535836,11.269460201263428,519636,37792,1
10,0.8772544627393021,2.4455989772879234,0.9490897544453852,2.3729795120857857,11.256245851516724,519636,37792,1
11,0.8816402250806333,2.441199928756774,0.9501217188823031,2.3718786432936385,11.2410147190094,519636,37792,1
12,0.8846654196399018,2.438019000639127,0.9502011007620661,2.3717698406528784,11.284197568893433,519636,37792,1
13,0.8868034547260005,2.435756345433513,0.9499629551227773,2.372132816830197,11.222676277160645,519636,37792,0
14,0.8898883064298856,2.43274695948353,0.9508361558001693,2.371166570766552,11.224983930587769,519636,37792,1
15,0.8925170696410565,2.430006983242636,0.9526090177815411,2.369514226913452,11.228913068771362,519636,37792,1
16,0.8938372245187015,2.4286924342470844,0.952979466553768,2.3690705428252348,11.234457015991211,519636,37792,1
17,0.8953767637346143,2.4270526611898826,0.953058848433531,2.3690231233029753,11.23069453239441,519636,37792,1
18,0.8974570661001162,2.424986690048158,0.9531117696867062,2.3688456045614705,11.225847959518433,519636,37792,1
